image_url,question,gt_answer,model_answer,hallucination_type
https://midjourney-image.s3.amazonaws.com/15897d68-4f5b-4122-a214-f48d16ed74e8.png,Are the buttons on Mario's overalls silver or gold? Answer with reasonable length (not too short or too long).,The buttons on Mario's overalls are gold.,The buttons on Mario's overalls are gold.,visual challenge
https://midjourney-image.s3.amazonaws.com/08372d72-d842-4dea-8579-45ccfe749485.png,What color are the creature's lips? Answer with reasonable length (not too short or too long).,His lips are pink.,The creature's lips are red.,visual challenge
https://midjourney-image.s3.amazonaws.com/10bbd913-a133-401d-9251-9cdd6e14285a.png,Is the dog's raincoat closed? Answer with reasonable length (not too short or too long).,"No, is not closed.","No, the dog's raincoat is open.",visual challenge
https://midjourney-image.s3.amazonaws.com/Lavrentii_astronaut_laying_in_flowers_top_view_cinematic_dark_l_33050faf-bdec-4a92-b0aa-b9344b531213.png,Is the astronaut's helmet open or closed? Answer with reasonable length (not too short or too long).,The astronaut's helmet is closed.,The astronaut's helmet is open.,visual challenge
https://midjourney-image.s3.amazonaws.com/Luanp1_A_captivating_long-haired_girl_with_exquisite_dreads_ami_ae8b9f6b-f8e3-4c83-bf63-89577db740f8.png,"Is the woman looking to her left, or her right? Answer with reasonable length (not too short or too long).",She is looking to her left.,The woman in the painting is looking to her right.,visual challenge
https://midjourney-image.s3.amazonaws.com/NonixDark_a_female_head_and_a_city_skyline_multiple_exposure_do_adf8fcf0-d78f-4a77-93b0-bbcd5dc6be19.png,What is the most prominent type of building in this image? Answer with reasonable length (not too short or too long).,The most prominent type of building in this image is a skyscraper.,The most prominent type of building in this image is a skyscraper.,visual challenge
https://midjourney-image.s3.amazonaws.com/Method_Visual_event_poster_for_an_offroad_atv_adn_dirtbike_even_560adb5e-eedd-41df-936a-bf7546599429.png,How many mountain peaks are visible in the image? Answer with reasonable length (not too short or too long).,There are three mountain peaks visible in the image?,There are two mountain peaks visible in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/Riot_Cat_an_abandoned_moss-covered_phone_booth_in_a_mystical_fo_8733da36-021d-4b97-8ff5-b289450533df.png,How many parts is the phone booth window divided into? Answer with reasonable length (not too short or too long).,Is divided into ten parts.,The phone booth window is divided into four parts.,visual challenge
https://midjourney-image.s3.amazonaws.com/Starwing_man_with_mask_holding_up_a_framed_painting_in_the_styl_362011a2-90d5-4154-982f-aed36bb2e20c.png,How many ears are visible in the image? Answer with reasonable length (not too short or too long).,There are 2 ears visible in the image.,There is only one ear visible in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/Rawan_Batman_car_6ec09f31-1b1f-4c3b-9cb0-f27ab01a3a8a.png,How many vehicles are visible in the image? Answer with reasonable length (not too short or too long).,There are five vehicles visible in the image.,"There are several vehicles visible in the image, including a Batmobile and a bus.",visual challenge
https://midjourney-image.s3.amazonaws.com/Tatl_Anime_Kz_in_the_eye_of_a_dragon_crimson_brownish_red_iris__40fa0353-34b0-40d7-bbbb-f773f8cbd741.png,How many pink and white dots are in the eye? Answer with reasonable length (not too short or too long).,Two pink and white dots are in the eye.,There are two pink and white dots in the eye.,visual challenge
https://midjourney-image.s3.amazonaws.com/Photobert_from_top_down_view_on_endless_precisely_round_stairca_c9e67d58-cfe7-4987-8a06-fd74201b7be2.png,How many plants are visible on the bottom floor? Answer with reasonable length (not too short or too long).,One plant is visible on the bottom floor in the image.,There is one plant visible on the bottom floor.,visual challenge
https://midjourney-image.s3.amazonaws.com/Spaghetti_Alfredo_pope_francis_wielding_two_golden_pistols_shot_1fda55ed-5f1a-43cf-83d5-693574fc3459.png,What color is the trim on the person's hat? Answer with reasonable length (not too short or too long).,The trim on the hat is gold.,White,visual challenge
https://midjourney-image.s3.amazonaws.com/JolaCh_symbol_of_useful_tips_and_inspiation_in_a_form_of_a_ligh_e5d0e65d-9a5a-4f09-b942-1680972563f0.png,What continent is depicted in the lower portion of the image? Answer with reasonable length (not too short or too long).,The continent of South America is depicted in the lower portion of the image.,South America,visual challenge
https://midjourney-image.s3.amazonaws.com/Manu2810_mug_with_whale_drawing_black_and_white_sketch_749bc9c1-2458-4f28-b9db-bf2744294598.png,What colors are the text on the mug? Answer with reasonable length (not too short or too long).,The text on the mug is black and yellow.,The text on the mug is black and yellow.,visual challenge
https://midjourney-image.s3.amazonaws.com/JolaCh_lightbulb_as_a_symbol_of_inspiration_and_tips_in_soft_co_6192cd80-9862-448a-ba35-1b6901d50e78.png,What colors of paint is the bulb made of? Answer with reasonable length (not too short or too long).,"The bulb is made of white, blue, yellow and pink paint colors.","The bulb in the image is made of paint in the colors of pink, yellow, and blue.",visual challenge
https://midjourney-image.s3.amazonaws.com/Romanrr_A_collage_of_close_-_up_shots_of_the_faces_of_the_10_mo_c13be202-6e1a-43c5-b9cb-b736f5c746a5.png,What is the dog on the right side wearing? Answer with reasonable length (not too short or too long).,The dog on the right side is wearing a hoodie,The dog on the right side is wearing a hoodie.,visual challenge
https://midjourney-image.s3.amazonaws.com/Plut0_Neon_Residential_Building_covered_in_wires_air_conditione_0f587c7d-287b-4210-ad7d-a397e4ede08b.png,How many floors of the building can be seen in the image? Answer with reasonable length (not too short or too long).,"In the picture, you can see 5 floors","The image shows a multi-story building, but the exact number of floors is not clearly visible. It is evident that there are multiple floors, but the specific number cannot be determined from the image alone.",visual challenge
https://midjourney-image.s3.amazonaws.com/MrNoMbre_anatomy_atlas_cartoon_da_vinci_style_71d62905-ffa6-430a-ab98-1eefed019828+(1).png,How many digits are on the creature's right hand? Answer with reasonable length (not too short or too long).,The creature's right hand has seven digits.,The creature in the image has three digits on its right hand.,visual challenge
https://midjourney-image.s3.amazonaws.com/Romanrr_A_collage_of_close_-_up_shots_of_the_faces_of_the_10_mo_2b94dad2-5d1f-4f13-89b2-e3dc938b0c13.png,How many dogs are wearing glasses? Answer with reasonable length (not too short or too long).,Three dogs are wearing glasses.,There are four dogs wearing glasses in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/Kiki_dripping_kintsugi_lava_magma_wolf_on_ash_by_beeple_and_by__00f8fa3e-d98f-462f-b0dd-fe67a27eed32.png,What is the wolf in the image standing on? Answer with reasonable length (not too short or too long).,The wolf is standing on lava.,The wolf in the image is standing on a rocky surface with a body of water beneath it.,visual challenge
https://midjourney-image.s3.amazonaws.com/Palle_Dramatic_nightmare_inside_a_siluette_of_a_heart_epic_dram_9b709636-b16a-4f3f-ad2d-9afdeb6d9679.png,What is the shape of the cave entrance in the image? Answer with reasonable length (not too short or too long).,The shape of the cave entrance is a heart.,The shape of the cave entrance in the image is heart-shaped.,visual challenge
https://midjourney-image.s3.amazonaws.com/PatrickKarlsson1_a_close_up_of_an_astronaut_in_a_field_of_flowe_67d4e397-3784-440f-9424-3ab3050d4637.png,From which country is the flag shown in the image? Answer with reasonable length (not too short or too long).,The flag is of the country United States.,The flag shown in the image is the American flag.,visual challenge
https://midjourney-image.s3.amazonaws.com/Meraki_rainbow_ape_smoking_lots_of_rainbow_smoking_detailed_8k_f382def5-c1cc-4106-a749-e077ea832d3a.png,How many monkey fingers appears in the image? Answer with reasonable length (not too short or too long).,3 fingers.,There are four fingers visible in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/Markusas13_a_young_girl_kid_standing_in_front_of_a_antique_mirr_3128cb62-6cda-4820-8300-4ebd1b0357cd.png,What color are the eyes of the girl in the reflection? Answer with reasonable length (not too short or too long).,Are color black.,The girl in the reflection has blue eyes.,visual challenge
https://midjourney-image.s3.amazonaws.com/Kost_AI_No_Prompt_eecf5d63-f34d-4c24-b349-820443b8c59e.png,How many black stripes does the woman dressed as a bee have? Answer with reasonable length (not too short or too long).,There are 7 stripes.,The woman dressed as a bee has two black stripes on her dress.,visual challenge
https://midjourney-image.s3.amazonaws.com/Omen_North_a_retro_phone_booth_in_a_underwater_city_b468f104-9d17-48bb-95f5-597adcffdebc.png,How many letters are in the first word of the phone box? Answer with reasonable length (not too short or too long).,There is 6 letters.,12,visual challenge
https://midjourney-image.s3.amazonaws.com/Tiina57_star_seeds_came_to_earth_8ed009b7-352e-44b6-8018-e0d33ccea4f0.png,What color is the nut in the image? Answer with reasonable length (not too short or too long).,The nut is brown.,The nut in the image is brown.,visual challenge
https://midjourney-image.s3.amazonaws.com/LINLINL_The_architect_uses_ar_glasses_to_see_a_virtual_scene_in_c505cec0-02ac-4a10-a307-40c80a71d2db.png,What type of headset is he using? Answer with reasonable length (not too short or too long).,He is using a virtual reality headset.,The man in the image is using a virtual reality (VR) headset.,visual challenge
